rank,score,ID,Category,Current_Title,Digital_Title,Tags,Source_Path,Status
1,110,Poster-Academia-0091,Academia,Dark Academia Celestial Lotus Poster 12x18 Vintage Study Room Wall Art Decor,Dark Academia Celestial Lotus Printable Wall Art Vintage Study Room Wall Art Decor Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0091_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups5
2,110,Poster-Zen-0001,Zen,Zen Bonsai Wall Art Celestial Gate of Jade Mist 12x18 Poster Meditation Decor,Zen Bonsai Wall Art Celestial Gate of Jade Mist Printable Wall Art Meditation Decor Digital Download,"digital download, printable art, wall art print, zen decor, study room decor, dark academia, gallery wall, wabi sabi decor, japanese decor, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Zen-0001_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups5
3,110,Poster-Zen-0004,Zen,Zen Celestial Compass Poster 12x18 Wall Art Calm Study Decor Library Gift Room,Zen Celestial Compass Printable Wall Art Wall Art Calm Study Decor Library Gift Room Digital Download,"digital download, printable art, wall art print, zen decor, study room decor, dark academia, gallery wall, wabi sabi decor, japanese decor, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Zen-0004_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups5
4,110,Poster-Academia-0027,Academia,Dark Academia Astrolabe Dome Poster 12x18 Vintage Study Room Decor Wall Library,Dark Academia Astrolabe Dome Printable Wall Art Vintage Study Room Decor Wall Library Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0027_Ready_for_Steaming\Production_Design.png,Printify_UI_Mockups4
5,102,Poster-Academia-0001,Academia,Celestial Gateway Dark Academia Poster 12x18 Study Decor Moonstone Architecture,Celestial Gateway Dark Academia Printable Wall Art Study Decor Moonstone Architecture Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0001_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups5
6,102,Poster-Academia-0081,Academia,Celestial Armillary Sphere Dark Academia Poster 12x18 Scholar Study Decor Wall,Celestial Armillary Sphere Dark Academia Printable Wall Art Scholar Study Decor Wall Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0081_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups5
7,102,Poster-Academia-0084,Academia,Astrolabe Chalice Relic Dark Academia Poster 12x18 Vintage Study Decor Wall,Astrolabe Chalice Relic Dark Academia Printable Wall Art Vintage Study Decor Wall Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0084_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups5
8,102,Poster-Zen-0002,Zen,Dark Academia Phoenix Incense Burner 12x18 Poster Ritual Zen Decor Wall Study,Dark Academia Phoenix Incense Burner Printable Wall Art Ritual Zen Decor Wall Study Digital Download,"digital download, printable art, wall art print, zen decor, study room decor, dark academia, gallery wall, wabi sabi decor, japanese decor, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Zen-0002_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups5
9,102,Poster-Academia-0011,Academia,Dark Academia Celestial Archway Poster 12x18 Study Room Decor Timeless Tomes,Dark Academia Celestial Archway Printable Wall Art Study Room Decor Timeless Tomes Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0011_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups4
10,102,Poster-Academia-0021,Academia,Dark Academia Celestial Chronometer Archive Sphere 12x18 Poster Study Decor,Dark Academia Celestial Chronometer Archive Sphere Printable Wall Art Study Decor Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0021_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups8
11,102,Poster-Academia-0022,Academia,Dark Academia Temporal Reliquary Bell Jar 12x18 Poster Study Decor Wall Library,Dark Academia Temporal Reliquary Bell Jar Printable Wall Art Study Decor Wall Library Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0022_Ready_for_Steaming\Production_Design.png,Printify_Published_Mockups8
12,102,Poster-Academia-0023,Academia,Hermetic Knowledge Lantern Dark Academia Poster 12x18 Library Decor Wall Study,Hermetic Knowledge Lantern Dark Academia Printable Wall Art Library Decor Wall Study Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0023_Ready_for_Steaming\Production_Design.png,Printify_UI_Mockups8
13,102,Poster-Academia-0024,Academia,Dark Academia Industrial Library Pressure Chamber Poster 12x18 Vintage Decor,Dark Academia Industrial Library Pressure Chamber Printable Wall Art Vintage Decor Digital Download,"digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic",C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0024_Ready_for_Steaming\Production_Design.png,Printify_UI_Mockups8
