ID,Digital_Title,Pack_Dir,File_Count,Max_File_MB,All_Under_20MB,Source_Path
Poster-Academia-0091,Dark Academia Celestial Lotus Printable Wall Art Vintage Study Room Wall Art Decor Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta,5,2.02,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0091_Ready_for_Steaming\Production_Design.png
Poster-Zen-0001,Zen Bonsai Wall Art Celestial Gate of Jade Mist Printable Wall Art Meditation Decor Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0001_Zen-Bonsai-Wall-Art-Celestial-Gate-of-Jade-Mist,5,2.51,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Zen-0001_Ready_for_Steaming\Production_Design.png
Poster-Zen-0004,Zen Celestial Compass Printable Wall Art Wall Art Calm Study Decor Library Gift Room Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0004_Zen-Celestial-Compass-Poster-12x18-Wall-Art-Calm,5,2.54,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Zen-0004_Ready_for_Steaming\Production_Design.png
Poster-Academia-0027,Dark Academia Astrolabe Dome Printable Wall Art Vintage Study Room Decor Wall Library Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0027_Dark-Academia-Astrolabe-Dome-Poster-12x18-Vintag,5,3.42,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0027_Ready_for_Steaming\Production_Design.png
Poster-Academia-0001,Celestial Gateway Dark Academia Printable Wall Art Study Decor Moonstone Architecture Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0001_Celestial-Gateway-Dark-Academia-Poster-12x18-Stu,5,2.52,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0001_Ready_for_Steaming\Production_Design.png
Poster-Academia-0081,Celestial Armillary Sphere Dark Academia Printable Wall Art Scholar Study Decor Wall Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0081_Celestial-Armillary-Sphere-Dark-Academia-Poster,5,2.48,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0081_Ready_for_Steaming\Production_Design.png
Poster-Academia-0084,Astrolabe Chalice Relic Dark Academia Printable Wall Art Vintage Study Decor Wall Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0084_Astrolabe-Chalice-Relic-Dark-Academia-Poster-12x,5,2.79,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0084_Ready_for_Steaming\Production_Design.png
Poster-Zen-0002,Dark Academia Phoenix Incense Burner Printable Wall Art Ritual Zen Decor Wall Study Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0002_Dark-Academia-Phoenix-Incense-Burner-12x18-Poste,5,2.23,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Zen-0002_Ready_for_Steaming\Production_Design.png
Poster-Academia-0011,Dark Academia Celestial Archway Printable Wall Art Study Room Decor Timeless Tomes Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0011_Dark-Academia-Celestial-Archway-Poster-12x18-Stu,5,2.79,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0011_Ready_for_Steaming\Production_Design.png
Poster-Academia-0021,Dark Academia Celestial Chronometer Archive Sphere Printable Wall Art Study Decor Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0021_Dark-Academia-Celestial-Chronometer-Archive-Sphe,5,2.86,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0021_Ready_for_Steaming\Production_Design.png
Poster-Academia-0022,Dark Academia Temporal Reliquary Bell Jar Printable Wall Art Study Decor Wall Library Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0022_Dark-Academia-Temporal-Reliquary-Bell-Jar-12x18,5,3.02,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0022_Ready_for_Steaming\Production_Design.png
Poster-Academia-0023,Hermetic Knowledge Lantern Dark Academia Printable Wall Art Library Decor Wall Study Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0023_Hermetic-Knowledge-Lantern-Dark-Academia-Poster,5,2.92,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0023_Ready_for_Steaming\Production_Design.png
Poster-Academia-0024,Dark Academia Industrial Library Pressure Chamber Printable Wall Art Vintage Decor Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0024_Dark-Academia-Industrial-Library-Pressure-Chambe,5,3.39,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0024_Ready_for_Steaming\Production_Design.png
Poster-Academia-0025,Dark Academia Chrono-Codex Terrarium Printable Wall Art Library Decor Wall Study Gift Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0025_Dark-Academia-Chrono-Codex-Terrarium-12x18-Poste,5,2.78,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0025_Ready_for_Steaming\Production_Design.png
Poster-Academia-0026,Dark Academia Apothecary Cylinder Printable Wall Art Vintage Study Decor Wall Library Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0026_Dark-Academia-Apothecary-Cylinder-12x18-Poster-V,5,3.2,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0026_Ready_for_Steaming\Production_Design.png
Poster-Academia-0028,Dark Academia Alchemist Retort Library Printable Wall Art Study Decor Wall Gift Room Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0028_Dark-Academia-Alchemist-Retort-Library-Poster-12,5,3.05,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0028_Ready_for_Steaming\Production_Design.png
Poster-Academia-0002,Dark Academia Obsidian Threshold Printable Wall Art Vintage Study Decor Mentor Wisdom Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0002_Dark-Academia-Obsidian-Threshold-Poster-12x18-Vi,5,2.92,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0002_Ready_for_Steaming\Production_Design.png
Poster-Academia-0003,Dark Academia Serpentine Portal of Alchemical Texts Printable Wall Art Study Decor Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0003_Dark-Academia-Serpentine-Portal-of-Alchemical-Te,5,2.57,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0003_Ready_for_Steaming\Production_Design.png
Poster-Academia-0082,Celestial Armillary Codex Academia Printable Wall Art Vintage Astronomy Decor Wall Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0082_Celestial-Armillary-Codex-Academia-Poster-12x18,5,3.03,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0082_Ready_for_Steaming\Production_Design.png
Poster-Academia-0083,Academia Mentor-Grade Cosmic Lotus Observatory Printable Wall Art Steampunk Study Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0083_Academia-Mentor-Grade-Cosmic-Lotus-Observatory-1,5,2.23,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0083_Ready_for_Steaming\Production_Design.png
