ID,Listing_Type,Product_Line,Price_USD,Title,Description,Tags,AI_Disclosure,License,Pack_Dir,Digital_File_1,Digital_File_2,Digital_File_3,Digital_File_4,Digital_File_5,Max_File_MB,All_Under_20MB,Source_Path
Poster-Academia-0091,Digital,Printable Wall Art Set,9.99,Dark Academia Celestial Lotus Printable Wall Art Vintage Study Room Wall Art Decor Digital Download,"Dark Academia Celestial Lotus Printable Wall Art Vintage Study Room Wall Art Decor Digital Download

Instant digital download. No physical item will be shipped.

You receive five high-resolution JPG files prepared for common frame sizes: 2:3, 3:4, 4:5, 11x14, and ISO A-series. Print at home, through a local print shop, or through an online photo lab.

Style notes: quiet relic atmosphere, premium zen / dark academia visual language, gallery-wall composition, and contemplative study-room decor.

AI-assisted disclosure: this artwork was created with AI-assisted tools and then curated, cropped, formatted, and prepared by Quiet Relic Studio.

Personal use only. Commercial resale, redistribution, and file sharing are not included.

Search themes: digital download, printable art, wall art print, library decor, study room decor.","digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic","AI-assisted artwork, curated and formatted by Quiet Relic Studio.","Personal use only; no resale, redistribution, or commercial file use.",C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Poster-Academia-0091_2x3_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Poster-Academia-0091_3x4_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Poster-Academia-0091_4x5_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Poster-Academia-0091_11x14_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Poster-Academia-0091_A-Series_QuietRelicStudio.jpg,2.02,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0091_Ready_for_Steaming\Production_Design.png
Poster-Zen-0001,Digital,Printable Wall Art Set,9.99,Zen Bonsai Wall Art Celestial Gate of Jade Mist Printable Wall Art Meditation Decor Digital Download,"Zen Bonsai Wall Art Celestial Gate of Jade Mist Printable Wall Art Meditation Decor Digital Download

Instant digital download. No physical item will be shipped.

You receive five high-resolution JPG files prepared for common frame sizes: 2:3, 3:4, 4:5, 11x14, and ISO A-series. Print at home, through a local print shop, or through an online photo lab.

Style notes: quiet relic atmosphere, premium zen / dark academia visual language, gallery-wall composition, and contemplative study-room decor.

AI-assisted disclosure: this artwork was created with AI-assisted tools and then curated, cropped, formatted, and prepared by Quiet Relic Studio.

Personal use only. Commercial resale, redistribution, and file sharing are not included.

Search themes: digital download, printable art, wall art print, zen decor, study room decor.","digital download, printable art, wall art print, zen decor, study room decor, dark academia, gallery wall, wabi sabi decor, japanese decor, meditation room, scholar decor, instant download, quiet relic","AI-assisted artwork, curated and formatted by Quiet Relic Studio.","Personal use only; no resale, redistribution, or commercial file use.",C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0001_Zen-Bonsai-Wall-Art-Celestial-Gate-of-Jade-Mist,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0001_Zen-Bonsai-Wall-Art-Celestial-Gate-of-Jade-Mist\Poster-Zen-0001_2x3_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0001_Zen-Bonsai-Wall-Art-Celestial-Gate-of-Jade-Mist\Poster-Zen-0001_3x4_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0001_Zen-Bonsai-Wall-Art-Celestial-Gate-of-Jade-Mist\Poster-Zen-0001_4x5_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0001_Zen-Bonsai-Wall-Art-Celestial-Gate-of-Jade-Mist\Poster-Zen-0001_11x14_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0001_Zen-Bonsai-Wall-Art-Celestial-Gate-of-Jade-Mist\Poster-Zen-0001_A-Series_QuietRelicStudio.jpg,2.51,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Zen-0001_Ready_for_Steaming\Production_Design.png
Poster-Zen-0004,Digital,Printable Wall Art Set,9.99,Zen Celestial Compass Printable Wall Art Wall Art Calm Study Decor Library Gift Room Digital Download,"Zen Celestial Compass Printable Wall Art Wall Art Calm Study Decor Library Gift Room Digital Download

Instant digital download. No physical item will be shipped.

You receive five high-resolution JPG files prepared for common frame sizes: 2:3, 3:4, 4:5, 11x14, and ISO A-series. Print at home, through a local print shop, or through an online photo lab.

Style notes: quiet relic atmosphere, premium zen / dark academia visual language, gallery-wall composition, and contemplative study-room decor.

AI-assisted disclosure: this artwork was created with AI-assisted tools and then curated, cropped, formatted, and prepared by Quiet Relic Studio.

Personal use only. Commercial resale, redistribution, and file sharing are not included.

Search themes: digital download, printable art, wall art print, zen decor, study room decor.","digital download, printable art, wall art print, zen decor, study room decor, dark academia, gallery wall, wabi sabi decor, japanese decor, meditation room, scholar decor, instant download, quiet relic","AI-assisted artwork, curated and formatted by Quiet Relic Studio.","Personal use only; no resale, redistribution, or commercial file use.",C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0004_Zen-Celestial-Compass-Poster-12x18-Wall-Art-Calm,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0004_Zen-Celestial-Compass-Poster-12x18-Wall-Art-Calm\Poster-Zen-0004_2x3_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0004_Zen-Celestial-Compass-Poster-12x18-Wall-Art-Calm\Poster-Zen-0004_3x4_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0004_Zen-Celestial-Compass-Poster-12x18-Wall-Art-Calm\Poster-Zen-0004_4x5_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0004_Zen-Celestial-Compass-Poster-12x18-Wall-Art-Calm\Poster-Zen-0004_11x14_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0004_Zen-Celestial-Compass-Poster-12x18-Wall-Art-Calm\Poster-Zen-0004_A-Series_QuietRelicStudio.jpg,2.54,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Zen-0004_Ready_for_Steaming\Production_Design.png
Poster-Academia-0027,Digital,Printable Wall Art Set,9.99,Dark Academia Astrolabe Dome Printable Wall Art Vintage Study Room Decor Wall Library Digital Download,"Dark Academia Astrolabe Dome Printable Wall Art Vintage Study Room Decor Wall Library Digital Download

Instant digital download. No physical item will be shipped.

You receive five high-resolution JPG files prepared for common frame sizes: 2:3, 3:4, 4:5, 11x14, and ISO A-series. Print at home, through a local print shop, or through an online photo lab.

Style notes: quiet relic atmosphere, premium zen / dark academia visual language, gallery-wall composition, and contemplative study-room decor.

AI-assisted disclosure: this artwork was created with AI-assisted tools and then curated, cropped, formatted, and prepared by Quiet Relic Studio.

Personal use only. Commercial resale, redistribution, and file sharing are not included.

Search themes: digital download, printable art, wall art print, library decor, study room decor.","digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic","AI-assisted artwork, curated and formatted by Quiet Relic Studio.","Personal use only; no resale, redistribution, or commercial file use.",C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0027_Dark-Academia-Astrolabe-Dome-Poster-12x18-Vintag,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0027_Dark-Academia-Astrolabe-Dome-Poster-12x18-Vintag\Poster-Academia-0027_2x3_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0027_Dark-Academia-Astrolabe-Dome-Poster-12x18-Vintag\Poster-Academia-0027_3x4_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0027_Dark-Academia-Astrolabe-Dome-Poster-12x18-Vintag\Poster-Academia-0027_4x5_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0027_Dark-Academia-Astrolabe-Dome-Poster-12x18-Vintag\Poster-Academia-0027_11x14_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0027_Dark-Academia-Astrolabe-Dome-Poster-12x18-Vintag\Poster-Academia-0027_A-Series_QuietRelicStudio.jpg,3.42,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0027_Ready_for_Steaming\Production_Design.png
Poster-Academia-0001,Digital,Printable Wall Art Set,9.99,Celestial Gateway Dark Academia Printable Wall Art Study Decor Moonstone Architecture Digital Download,"Celestial Gateway Dark Academia Printable Wall Art Study Decor Moonstone Architecture Digital Download

Instant digital download. No physical item will be shipped.

You receive five high-resolution JPG files prepared for common frame sizes: 2:3, 3:4, 4:5, 11x14, and ISO A-series. Print at home, through a local print shop, or through an online photo lab.

Style notes: quiet relic atmosphere, premium zen / dark academia visual language, gallery-wall composition, and contemplative study-room decor.

AI-assisted disclosure: this artwork was created with AI-assisted tools and then curated, cropped, formatted, and prepared by Quiet Relic Studio.

Personal use only. Commercial resale, redistribution, and file sharing are not included.

Search themes: digital download, printable art, wall art print, library decor, study room decor.","digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic","AI-assisted artwork, curated and formatted by Quiet Relic Studio.","Personal use only; no resale, redistribution, or commercial file use.",C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0001_Celestial-Gateway-Dark-Academia-Poster-12x18-Stu,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0001_Celestial-Gateway-Dark-Academia-Poster-12x18-Stu\Poster-Academia-0001_2x3_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0001_Celestial-Gateway-Dark-Academia-Poster-12x18-Stu\Poster-Academia-0001_3x4_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0001_Celestial-Gateway-Dark-Academia-Poster-12x18-Stu\Poster-Academia-0001_4x5_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0001_Celestial-Gateway-Dark-Academia-Poster-12x18-Stu\Poster-Academia-0001_11x14_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0001_Celestial-Gateway-Dark-Academia-Poster-12x18-Stu\Poster-Academia-0001_A-Series_QuietRelicStudio.jpg,2.52,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0001_Ready_for_Steaming\Production_Design.png
Poster-Academia-0081,Digital,Printable Wall Art Set,9.99,Celestial Armillary Sphere Dark Academia Printable Wall Art Scholar Study Decor Wall Digital Download,"Celestial Armillary Sphere Dark Academia Printable Wall Art Scholar Study Decor Wall Digital Download

Instant digital download. No physical item will be shipped.

You receive five high-resolution JPG files prepared for common frame sizes: 2:3, 3:4, 4:5, 11x14, and ISO A-series. Print at home, through a local print shop, or through an online photo lab.

Style notes: quiet relic atmosphere, premium zen / dark academia visual language, gallery-wall composition, and contemplative study-room decor.

AI-assisted disclosure: this artwork was created with AI-assisted tools and then curated, cropped, formatted, and prepared by Quiet Relic Studio.

Personal use only. Commercial resale, redistribution, and file sharing are not included.

Search themes: digital download, printable art, wall art print, library decor, study room decor.","digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic","AI-assisted artwork, curated and formatted by Quiet Relic Studio.","Personal use only; no resale, redistribution, or commercial file use.",C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0081_Celestial-Armillary-Sphere-Dark-Academia-Poster,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0081_Celestial-Armillary-Sphere-Dark-Academia-Poster\Poster-Academia-0081_2x3_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0081_Celestial-Armillary-Sphere-Dark-Academia-Poster\Poster-Academia-0081_3x4_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0081_Celestial-Armillary-Sphere-Dark-Academia-Poster\Poster-Academia-0081_4x5_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0081_Celestial-Armillary-Sphere-Dark-Academia-Poster\Poster-Academia-0081_11x14_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0081_Celestial-Armillary-Sphere-Dark-Academia-Poster\Poster-Academia-0081_A-Series_QuietRelicStudio.jpg,2.48,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0081_Ready_for_Steaming\Production_Design.png
Poster-Academia-0084,Digital,Printable Wall Art Set,9.99,Astrolabe Chalice Relic Dark Academia Printable Wall Art Vintage Study Decor Wall Digital Download,"Astrolabe Chalice Relic Dark Academia Printable Wall Art Vintage Study Decor Wall Digital Download

Instant digital download. No physical item will be shipped.

You receive five high-resolution JPG files prepared for common frame sizes: 2:3, 3:4, 4:5, 11x14, and ISO A-series. Print at home, through a local print shop, or through an online photo lab.

Style notes: quiet relic atmosphere, premium zen / dark academia visual language, gallery-wall composition, and contemplative study-room decor.

AI-assisted disclosure: this artwork was created with AI-assisted tools and then curated, cropped, formatted, and prepared by Quiet Relic Studio.

Personal use only. Commercial resale, redistribution, and file sharing are not included.

Search themes: digital download, printable art, wall art print, library decor, study room decor.","digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic","AI-assisted artwork, curated and formatted by Quiet Relic Studio.","Personal use only; no resale, redistribution, or commercial file use.",C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0084_Astrolabe-Chalice-Relic-Dark-Academia-Poster-12x,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0084_Astrolabe-Chalice-Relic-Dark-Academia-Poster-12x\Poster-Academia-0084_2x3_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0084_Astrolabe-Chalice-Relic-Dark-Academia-Poster-12x\Poster-Academia-0084_3x4_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0084_Astrolabe-Chalice-Relic-Dark-Academia-Poster-12x\Poster-Academia-0084_4x5_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0084_Astrolabe-Chalice-Relic-Dark-Academia-Poster-12x\Poster-Academia-0084_11x14_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0084_Astrolabe-Chalice-Relic-Dark-Academia-Poster-12x\Poster-Academia-0084_A-Series_QuietRelicStudio.jpg,2.79,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0084_Ready_for_Steaming\Production_Design.png
Poster-Zen-0002,Digital,Printable Wall Art Set,9.99,Dark Academia Phoenix Incense Burner Printable Wall Art Ritual Zen Decor Wall Study Digital Download,"Dark Academia Phoenix Incense Burner Printable Wall Art Ritual Zen Decor Wall Study Digital Download

Instant digital download. No physical item will be shipped.

You receive five high-resolution JPG files prepared for common frame sizes: 2:3, 3:4, 4:5, 11x14, and ISO A-series. Print at home, through a local print shop, or through an online photo lab.

Style notes: quiet relic atmosphere, premium zen / dark academia visual language, gallery-wall composition, and contemplative study-room decor.

AI-assisted disclosure: this artwork was created with AI-assisted tools and then curated, cropped, formatted, and prepared by Quiet Relic Studio.

Personal use only. Commercial resale, redistribution, and file sharing are not included.

Search themes: digital download, printable art, wall art print, zen decor, study room decor.","digital download, printable art, wall art print, zen decor, study room decor, dark academia, gallery wall, wabi sabi decor, japanese decor, meditation room, scholar decor, instant download, quiet relic","AI-assisted artwork, curated and formatted by Quiet Relic Studio.","Personal use only; no resale, redistribution, or commercial file use.",C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0002_Dark-Academia-Phoenix-Incense-Burner-12x18-Poste,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0002_Dark-Academia-Phoenix-Incense-Burner-12x18-Poste\Poster-Zen-0002_2x3_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0002_Dark-Academia-Phoenix-Incense-Burner-12x18-Poste\Poster-Zen-0002_3x4_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0002_Dark-Academia-Phoenix-Incense-Burner-12x18-Poste\Poster-Zen-0002_4x5_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0002_Dark-Academia-Phoenix-Incense-Burner-12x18-Poste\Poster-Zen-0002_11x14_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0002_Dark-Academia-Phoenix-Incense-Burner-12x18-Poste\Poster-Zen-0002_A-Series_QuietRelicStudio.jpg,2.23,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Zen-0002_Ready_for_Steaming\Production_Design.png
Poster-Academia-0011,Digital,Printable Wall Art Set,9.99,Dark Academia Celestial Archway Printable Wall Art Study Room Decor Timeless Tomes Digital Download,"Dark Academia Celestial Archway Printable Wall Art Study Room Decor Timeless Tomes Digital Download

Instant digital download. No physical item will be shipped.

You receive five high-resolution JPG files prepared for common frame sizes: 2:3, 3:4, 4:5, 11x14, and ISO A-series. Print at home, through a local print shop, or through an online photo lab.

Style notes: quiet relic atmosphere, premium zen / dark academia visual language, gallery-wall composition, and contemplative study-room decor.

AI-assisted disclosure: this artwork was created with AI-assisted tools and then curated, cropped, formatted, and prepared by Quiet Relic Studio.

Personal use only. Commercial resale, redistribution, and file sharing are not included.

Search themes: digital download, printable art, wall art print, library decor, study room decor.","digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic","AI-assisted artwork, curated and formatted by Quiet Relic Studio.","Personal use only; no resale, redistribution, or commercial file use.",C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0011_Dark-Academia-Celestial-Archway-Poster-12x18-Stu,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0011_Dark-Academia-Celestial-Archway-Poster-12x18-Stu\Poster-Academia-0011_2x3_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0011_Dark-Academia-Celestial-Archway-Poster-12x18-Stu\Poster-Academia-0011_3x4_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0011_Dark-Academia-Celestial-Archway-Poster-12x18-Stu\Poster-Academia-0011_4x5_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0011_Dark-Academia-Celestial-Archway-Poster-12x18-Stu\Poster-Academia-0011_11x14_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0011_Dark-Academia-Celestial-Archway-Poster-12x18-Stu\Poster-Academia-0011_A-Series_QuietRelicStudio.jpg,2.79,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0011_Ready_for_Steaming\Production_Design.png
Poster-Academia-0021,Digital,Printable Wall Art Set,9.99,Dark Academia Celestial Chronometer Archive Sphere Printable Wall Art Study Decor Digital Download,"Dark Academia Celestial Chronometer Archive Sphere Printable Wall Art Study Decor Digital Download

Instant digital download. No physical item will be shipped.

You receive five high-resolution JPG files prepared for common frame sizes: 2:3, 3:4, 4:5, 11x14, and ISO A-series. Print at home, through a local print shop, or through an online photo lab.

Style notes: quiet relic atmosphere, premium zen / dark academia visual language, gallery-wall composition, and contemplative study-room decor.

AI-assisted disclosure: this artwork was created with AI-assisted tools and then curated, cropped, formatted, and prepared by Quiet Relic Studio.

Personal use only. Commercial resale, redistribution, and file sharing are not included.

Search themes: digital download, printable art, wall art print, library decor, study room decor.","digital download, printable art, wall art print, library decor, study room decor, dark academia, gallery wall, wabi sabi decor, vintage study, meditation room, scholar decor, instant download, quiet relic","AI-assisted artwork, curated and formatted by Quiet Relic Studio.","Personal use only; no resale, redistribution, or commercial file use.",C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0021_Dark-Academia-Celestial-Chronometer-Archive-Sphe,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0021_Dark-Academia-Celestial-Chronometer-Archive-Sphe\Poster-Academia-0021_2x3_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0021_Dark-Academia-Celestial-Chronometer-Archive-Sphe\Poster-Academia-0021_3x4_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0021_Dark-Academia-Celestial-Chronometer-Archive-Sphe\Poster-Academia-0021_4x5_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0021_Dark-Academia-Celestial-Chronometer-Archive-Sphe\Poster-Academia-0021_11x14_QuietRelicStudio.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0021_Dark-Academia-Celestial-Chronometer-Archive-Sphe\Poster-Academia-0021_A-Series_QuietRelicStudio.jpg,2.86,True,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0021_Ready_for_Steaming\Production_Design.png
