Timestamp,Job_ID,Scheme,Asset_Type,Prompt,Status,Grid_Path,Message_ID
2026-05-04T18:01:49,ETSYBRAND_01_ICON_180120_01,Jade Archive Studio,icon,"premium square shop icon, carved imperial jade seal emblem inside a subtle antique gold frame, archive drawer geometry, scholar studio object, ink green stone, warm paper white negative space, minimal luxury brand mark, centered composition, no typography ID_ETSYBRAND_01_ICON_180120_01 --ar 1:1 --v 6.1 --style raw --stylize 200 --no text, letters, words, logo text, watermark, people, face",SUBMITTED,,
2026-05-04T18:02:04,ETSYBRAND_01_BANNER_180120_02,Jade Archive Studio,banner,"premium Etsy shop banner, quiet scholar archive shelf with jade seals, antique brass catalog drawers, ink-wash paper texture, moonlit study room, dark green and warm ivory palette, curated high-end wall art and acrylic object studio atmosphere, elegant negative space, no typography ID_ETSYBRAND_01_BANNER_180120_02 --ar 4:1 --v 6.1 --style raw --stylize 200 --no text, letters, words, logo text, watermark, people, face",SUBMITTED,,
2026-05-04T18:02:10,ETSYBRAND_02_ICON_180120_03,Quiet Relic Studio,icon,"premium square shop icon, luminous jade relic bell inside a glass museum display case, oxidized bronze, soft smoke blue glow, black lacquer background, tiny kintsugi seams, collectible object studio mark, centered simple silhouette, no typography ID_ETSYBRAND_02_ICON_180120_03 --ar 1:1 --v 6.1 --style raw --stylize 200 --no text, letters, words, logo text, watermark, people, face",SUBMITTED,,
2026-05-04T18:02:17,ETSYBRAND_02_BANNER_180120_04,Quiet Relic Studio,banner,"premium Etsy shop banner, dark museum shelf of jade relics, kintsugi vessels, bronze bells, crystalline acrylic refraction, quiet ritual-object gallery, cinematic low light, obsidian and smoke blue palette, luxury collectible decor atmosphere, no typography ID_ETSYBRAND_02_BANNER_180120_04 --ar 4:1 --v 6.1 --style raw --stylize 200 --no text, letters, words, logo text, watermark, people, face",SUBMITTED,,
2026-05-04T18:02:27,ETSYBRAND_03_ICON_180120_05,Scholar Grove Atelier,icon,"premium square shop icon, miniature bonsai beside an open scholar book and small jade moonstone, wabi-sabi ceramic base, antique brass linework, moss green and warm walnut palette, calm study decor brand mark, centered clean silhouette, no typography ID_ETSYBRAND_03_ICON_180120_05 --ar 1:1 --v 6.1 --style raw --stylize 200 --no text, letters, words, logo text, watermark, people, face",SUBMITTED,,
2026-05-04T18:02:33,ETSYBRAND_03_BANNER_180120_06,Scholar Grove Atelier,banner,"premium Etsy shop banner, zen study room shelf with bonsai, jade paperweight, old books, ink brush, soft morning light, wabi-sabi textures, moss green, walnut, moonstone white, warm approachable luxury decor atmosphere, no typography ID_ETSYBRAND_03_BANNER_180120_06 --ar 4:1 --v 6.1 --style raw --stylize 200 --no text, letters, words, logo text, watermark, people, face",SUBMITTED,,
2026-05-04T18:02:42,ETSYBRAND_04_ICON_180120_07,Lumen Relic Gallery,icon,"premium square shop icon, glowing jade crystal relic inside a black glass frame, celestial gate motif, cyan internal glow, gold dust, dark navy background, high-end mystical gallery mark, centered crisp silhouette, no typography ID_ETSYBRAND_04_ICON_180120_07 --ar 1:1 --v 6.1 --style raw --stylize 200 --no text, letters, words, logo text, watermark, people, face",SUBMITTED,,
2026-05-04T18:02:48,ETSYBRAND_04_BANNER_180120_08,Lumen Relic Gallery,banner,"premium Etsy shop banner, dramatic celestial artifact gallery with glowing jade crystals, acrylic light refraction, dark academia shelves, gold dust, black glass and deep navy palette, high click appeal but premium clean composition, no typography ID_ETSYBRAND_04_BANNER_180120_08 --ar 4:1 --v 6.1 --style raw --stylize 200 --no text, letters, words, logo text, watermark, people, face",SUBMITTED,,
2026-05-04T18:06:45,ETSYBRAND_01_ICON_180120_01,Jade Archive Studio,icon,"premium square shop icon, carved imperial jade seal emblem inside a subtle antique gold frame, archive drawer geometry, scholar studio object, ink green stone, warm paper white negative space, minimal luxury brand mark, centered composition, no typography ID_ETSYBRAND_01_ICON_180120_01 --ar 1:1 --v 6.1 --style raw --stylize 200 --no text, letters, words, logo text, watermark, people, face",GRID_DOWNLOADED,C:\AIprojects\openclaw_difi\Output\Brand\Etsy\20260504_180120\01_icon_grid.png,1500981024803258508
2026-05-04T18:09:10,ETSYBRAND_04_BANNER_180120_08,Lumen Relic Gallery,banner,"premium Etsy shop banner, dramatic celestial artifact gallery with glowing jade crystals, acrylic light refraction, dark academia shelves, gold dust, black glass and deep navy palette, high click appeal but premium clean composition, no typography ID_ETSYBRAND_04_BANNER_180120_08 --ar 4:1 --v 6.1 --style raw --stylize 200 --no text, letters, words, logo text, watermark, people, face",GRID_DOWNLOADED,C:\AIprojects\openclaw_difi\Output\Brand\Etsy\20260504_180120\04_banner_grid.png,1500981509606346844
