Timestamp,ID,Status,Reason,Category,Product_Type,Style,Title,MJ_Prompt,SEO_Hook
4/27/2026  7:58:43 PM,Sticker-Zen-0006,Defeated_Timeout,Existing Sticker defect status preserved during reset,Zen,Sticker,Zen Mentor-Grade,Ink Wash Mountain Sticker | 水墨山景,"A solitary mountain peak in the style of ink wash painting, the ink itself is Liquid Silver and Charcoal, bleeding into a paper-like background of Washi Paper Texture, with a single red seal, artistic, flowing, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus, --ar 1:1","ink wash sticker, Chinese painting, mountain art, liquid silver, washi paper, calligraphy aesthetic, minimalist landscape, artistic decal, scholar's rock, red seal, traditional art modern, contemplative design"
4/27/2026  8:07:27 PM,Sticker-Zen-0008,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Zen Circle Ensō Sticker | 円相禅,"A single, perfectly imperfect brushstroke circle (ensō), the ink is Molten Gold flowing over a background of crushed Lapis Lazuli pigment, the stroke has texture and depth, symbol of enlightenment, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus, --ar 1:1","enso circle sticker, zen circle, molten gold, lapis lazuli, brushstroke art, enlightenment symbol, minimalist design, meditation tool, gold foil sticker, luxury decal, spiritual art, one stroke, perfect imperfection"
4/27/2026  8:08:35 PM,Sticker-Zen-0010,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Floating Island Sanctuary Sticker | 浮岛圣所,"A tiny, floating island with a single pine tree, the island is a chunk of Mossy Granite, the tree is Ancient Bristlecone Pine with bark like Petrified Wood, a small glowing lantern hangs from a branch, dreamlike, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus, --ar 1:1","floating island sticker, mossy granite, ancient tree, miniature world, fantasy landscape, dream core, serene escape, glowing lantern, imaginative art, detailed diorama, sticker for dreamers, unique landscape, collectible art"
4/27/2026  8:13:03 PM,Sticker-Zen-0012,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Bonsai Serenity Sticker | 盆景の静けさ,"A miniature bonsai tree with gnarled black obsidian trunk and delicate foliage of powdered jade and gold leaf, roots intertwined with glowing quartz crystals, peaceful and balanced composition, zen philosophy, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus, --ar 1:1","bonsai tree sticker, obsidian and jade, crystal roots, miniature garden, zen art, plant lover gift, laptop decal, journal sticker, mindfulness symbol, black and gold design, spiritual botany, intricate illustration, calming nature"
4/27/2026  8:36:11 PM,Sticker-Zen-0016,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Pagoda Peace Sticker | 塔の安らぎ,"A stylized multi-tiered pagoda roof made of layered blue-gray porcelain with gold filigree edges, nestled among cherry blossom branches with petals of frosted glass, soft glow emanating from within the structure, serene Asian architecture, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus, --ar 1:1","pagoda sticker, Asian architecture, porcelain and gold, cherry blossom art, temple design, travel decal, cultural symbol, blue and gold aesthetic, serene building, Japan inspired, detailed illustration, spiritual place, peaceful scene"
4/27/2026  8:38:31 PM,Sticker-Zen-0021,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Kintsugi Lotus Sticker | 金継ぎの蓮 (Kintsugi no Hasu),"A single lotus flower, its petals crafted from translucent imperial jade with intricate kintsugi gold veins repairing delicate cracks, subtle bioluminescent glow emanating from its core revealing internal crystalline structures, studio lighting, hyper-detailed texture, macro photography, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus, --ar 1:1","zen sticker, kintsugi art, lotus flower, jade aesthetic, gold repair, bioluminescent, spiritual, meditation, mindful, Japanese art, minimalist design, waterproof sticker, laptop decal"
4/27/2026  8:39:33 PM,Sticker-Zen-0023,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Bioluminescent Bonsai Sticker | 光る盆栽 (Hikaru Bonsai),"A miniature bonsai tree, its trunk and branches inlaid with kintsugi gold veins, leaves formed from shards of translucent imperial jade that emit a vibrant bioluminescent glow, revealing intricate internal crystalline structures within each leaf, dark background contrast, cinematic lighting, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus, --ar 1:1","bonsai tree, glowing plant, jade leaves, kintsugi tree, bioluminescent, miniature garden, peaceful, nature art, unique sticker, gift for plant lover, aesthetic sticker, vinyl decal"
4/27/2026  8:40:19 PM,Sticker-Zen-0024,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Enso Circle with Crystals Sticker | 水晶の円相 (Suishō no Ensō),"A single, fluid brushstroke forming an ensō circle, the ink is translucent imperial jade with kintsugi gold veins tracing its path, the center of the circle contains a cluster of glowing internal crystalline structures emitting bioluminescent light, ink splash effect, dynamic lighting, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus, --ar 1:1","enso circle, Japanese calligraphy, jade ink, kintsugi, crystal core, enlightenment, simplicity, zen philosophy, brushstroke art, spiritual sticker, laptop sticker, water bottle decal"
4/27/2026  8:42:27 PM,Sticker-Zen-0028,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Floating Tea Bowl Sticker | 浮かぶ茶碗 (Ukabu Chawan),"A simple chawan tea bowl floating in space, crafted from translucent imperial jade with a dramatic crack repaired by a thick kintsugi gold vein, a pool of bioluminescent liquid inside glows brightly, showing the internal crystalline structures of the bowl, wisps of steam, minimalist composition, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus, --ar 1:1","tea bowl, chawan, jade ceramic, kintsugi repair, glowing tea, mindfulness, tea ceremony, wabi-sabi, imperfect beauty, coffee mug decal, kitchen sticker, minimalist art"
4/27/2026  8:43:50 PM,Sticker-Zen-0029,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Bamboo Forest Sticker | 光る竹林 (Hikaru Chikurin),"A cluster of bamboo stalks, each segment made of translucent imperial jade connected by rings of kintsugi gold, a soft bioluminescent glow filters through the jade, illuminating the intricate internal crystalline structures within, morning mist, sunbeams, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus, --ar 1:1","bamboo forest, jade bamboo, kintsugi joints, glowing plants, resilience, growth, Asian forest, nature walk, green aesthetic, plant lover sticker, garden art, journal sticker"
4/27/2026  8:43:51 PM,Sticker-Zen-0030,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Meditating Frog Sticker | 座禅蛙 (Zazen Kaeru),"A frog in a meditative pose, its skin textured like translucent imperial jade with kintsugi gold veins tracing its back and limbs, a calm bioluminescent glow emanates from its belly, revealing subtle internal crystalline structures, sitting on a lotus leaf, whimsical yet serene, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus, --ar 1:1","meditating frog, zen frog, jade amphibian, kintsugi animal, glowing creature, mindfulness, fun zen, whimsical art, animal sticker, cute decal, gift for yogi, unique animal design"
4/27/2026  8:46:11 PM,Sticker-Zen-0033,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Crystalline Bamboo Sticker | 結晶の竹,"A cluster of bamboo stalks, each segment crafted from translucent imperial jade, revealing intricate internal crystalline structures, kintsugi gold veins highlight the joints between segments, a gentle bioluminescent glow illuminates from within, serene forest atmosphere, hyper-realistic, detailed texture, studio lighting, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, --ar 1:1","bamboo sticker, jade plant, crystalline, glowing plants, zen nature, resilience, growth, Asian aesthetic, bioluminescent forest, kintsugi details, laptop sticker, water bottle decal, plant lover"
4/27/2026  8:47:41 PM,Sticker-Zen-0035,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Bioluminescent Koi Pond Sticker | 発光鯉,"A serene koi fish swimming upwards, its scales are translucent imperial jade plates with visible internal crystalline structures, kintsugi gold veins outline each scale, the fish emits a soft bioluminescent glow, water droplets with light refraction, hyper-realistic, peaceful, studio lighting, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, --ar 1:1","koi fish sticker, glowing koi, jade fish, perseverance, good luck, water art, Japanese pond, bioluminescent, kintsugi scales, tranquility, fortune, car decal, hydroflask sticker, aquatic decor"
4/27/2026  8:48:05 PM,Sticker-Zen-0036,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Fractal Cherry Blossom Sticker | フラクタル桜,"A single cherry blossom branch, each petal is a fractal pattern of translucent imperial jade, infinitely detailed internal crystalline structures, kintsugi gold veins form the delicate veins of the petals, a bioluminescent glow pulses from the center of each flower, macro detail, ethereal, studio lighting, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, --ar 1:1","cherry blossom sticker, fractal art, jade flower, sakura, spring, impermanence, beauty, glowing blossom, kintsugi details, macro photography, nature pattern, laptop skin, phone case sticker, gift for her"
4/27/2026  8:49:51 PM,Sticker-Zen-0038,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Meditating Crystal Frog Sticker | 瞑想する水晶の蛙,"A frog in a meditative pose, its body crafted from translucent imperial jade with complex internal crystalline structures visible, kintsugi gold veins trace patterns like ancient symbols on its skin, a bioluminescent glow emanates from its core, sitting on a lotus leaf, whimsical yet serene, hyper-realistic, studio lighting, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, --ar 1:1","frog sticker, meditation frog, jade animal, crystal core, zen animal, patience, transformation, kintsugi patterns, bioluminescent, whimsical art, mindfulness, funny zen, laptop sticker, guitar case decal"
4/27/2026  8:50:03 PM,Sticker-Zen-0039,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Kintsugi Tea Bowl Sticker | 金継ぎ茶碗,"A simple chawan (tea bowl), its ceramic form is translucent imperial jade, revealing swirling internal crystalline structures like galaxies, prominent kintsugi gold veins repair a major crack, steam rising from the bowl carries a bioluminescent glow, wabi-sabi aesthetic, hyper-detailed texture, studio lighting, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, --ar 1:1","tea bowl sticker, kintsugi pottery, jade ceramic, wabi sabi, tea ceremony, imperfection, healing, Japanese craft, glowing steam, mindfulness, coffee lover alternative, kitchen decor, mug sticker, plant pot decal"
4/27/2026  8:51:33 PM,Sticker-Zen-0041,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Kintsugi Gold Dragon Sticker | 金継ぎの龍ステッカー,"A Zen dragon with Kintsugi Gold Veins repairing Translucent Imperial Jade scales, Bioluminescent Glow from Internal Crystalline Structures, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus --ar 1:1 --tile","Japanese aesthetic, wabi-sabi, kintsugi art, broken beauty, repair art, gold foil sticker, luxury sticker, spiritual healing, mindfulness, dragon mythology, Asian art, decorative sticker, art collectible"
4/27/2026  8:51:53 PM,Sticker-Zen-0042,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Bioluminescent Crystal Dragon Sticker | 生物発光クリスタルドラゴンステッカー,"A Zen dragon with glowing Internal Crystalline Structures emitting Bioluminescent Glow through Translucent Imperial Jade skin, Kintsugi Gold Veins, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus --ar 1:1 --tile","glow in the dark, neon aesthetic, cyberpunk zen, crystal healing, spiritual energy, mystical creature, fantasy art, rave culture, festival sticker, UV reactive, magical creature, ethereal art, cosmic dragon"
4/27/2026  8:52:06 PM,Sticker-Zen-0043,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Imperial Jade Dragon Head Sticker | 帝国翡翠の龍頭ステッカー,"Close-up of a Zen dragon head made of Translucent Imperial Jade with intricate Kintsugi Gold Veins, Bioluminescent Glow in eyes from Internal Crystalline Structures, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus --ar 1:1 --tile","dragon head, portrait sticker, mythical creature, Asian mythology, Chinese dragon, detailed illustration, tattoo style, minimalist art, symbol sticker, power emblem, strength symbol, protective charm, character design"
4/27/2026  8:53:43 PM,Sticker-Zen-0044,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Zen Dragon Coil Sticker | 禅の龍の渦巻きステッカー,Missing,"mandala art, circular design, meditation symbol, spiritual geometry, sacred geometry, yin yang balance, harmony sticker, zen circle, endless knot, Buddhist art, mindfulness tool, decorative roundel, symmetrical art"
4/27/2026  8:55:39 PM,Sticker-Zen-0047,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Zen Dragon Calligraphy Sticker | 禅の龍の書道ステッカー,"A Zen dragon formed from Japanese calligraphy brush strokes of Translucent Imperial Jade ink with Kintsugi Gold Veins, Bioluminescent Glow accents from Internal Crystalline Structures, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus --ar 1:1 --tile","calligraphy art, brush stroke design, ink painting, Japanese writing, artistic lettering, abstract dragon, minimalist ink, sumi-e style, Asian calligraphy, artistic expression, flowing lines, dynamic brushwork, cultural art"
4/27/2026  8:55:51 PM,Sticker-Zen-0048,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Crystalline Dragon Scale Sticker | 結晶の龍の鱗ステッカー,"A single detailed dragon scale of Translucent Imperial Jade showing intricate Internal Crystalline Structures with Kintsugi Gold Veins repairs, Bioluminescent Glow from within, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus --ar 1:1 --tile","dragon scale, texture art, pattern design, reptilian skin, geometric pattern, scale motif, armor plating, protective symbol, detailed texture, surface pattern, repeatable design, tileable art, nature texture"
4/27/2026  9:04:08 PM,Sticker-Zen-0061,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Kintsugi Gold Dragon Sticker | 金継ぎの龍ステッカー,"A Zen dragon sticker with Kintsugi Gold Veins repairing Translucent Imperial Jade, Bioluminescent Glow from cracks, Internal Crystalline Structures visible, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus --ar 1:1 --tile","kintsugi art, gold repair, broken beauty, Japanese art, dragon sticker, spiritual healing, imperfection, glow in dark, crystal core, art therapy, mindfulness, collectible sticker, phone case decal"
4/27/2026  9:04:20 PM,Sticker-Zen-0062,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Bioluminescent Zen Dragon Sticker | 生物発光の禅龍ステッカー,"A glowing Zen dragon sticker with Bioluminescent Glow illuminating Translucent Imperial Jade body, Kintsugi Gold Veins, Internal Crystalline Structures glowing from within, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus --ar 1:1 --tile","glow in dark, bioluminescent art, night glow, mystical creature, fantasy sticker, rave culture, UV reactive, spiritual light, ethereal, magical, rave gear, festival sticker, water bottle decal"
4/27/2026  9:04:48 PM,Sticker-Zen-0063,Defeated_Timeout,No complete harvest within 120s,Zen,Sticker,Zen Mentor-Grade,Crystalline Dragon Core Sticker | 結晶の龍コアステッカー,"A Zen dragon sticker focusing on Internal Crystalline Structures within Translucent Imperial Jade, Kintsugi Gold Veins as circuitry, Bioluminescent Glow from crystal formations, white contour border, vector clean edges, die-cut sticker style, solid white background, 3D relief effect, sharp focus --ar 1:1 --tile","crystal core, geometric dragon, sacred geometry, mineral art, crystal healing, energy centers, chakra dragon, metaphysical, gemstone art, spiritual science, geology nerd, journal sticker, tablet decal"
