ID,Title,Preview_1,Preview_2,Preview_3,Pack_Dir
Poster-Academia-0091,Dark Academia Celestial Lotus Printable Wall Art Vintage Study Room Wall Art Decor Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0091_Dark-Academia-Celestial-Lotus-Poster-12x18-Vinta
Poster-Zen-0001,Zen Bonsai Wall Art Celestial Gate of Jade Mist Printable Wall Art Meditation Decor Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0001_Zen-Bonsai-Wall-Art-Celestial-Gate-of-Jade-Mist\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0001_Zen-Bonsai-Wall-Art-Celestial-Gate-of-Jade-Mist\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0001_Zen-Bonsai-Wall-Art-Celestial-Gate-of-Jade-Mist\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0001_Zen-Bonsai-Wall-Art-Celestial-Gate-of-Jade-Mist
Poster-Zen-0004,Zen Celestial Compass Printable Wall Art Wall Art Calm Study Decor Library Gift Room Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0004_Zen-Celestial-Compass-Poster-12x18-Wall-Art-Calm\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0004_Zen-Celestial-Compass-Poster-12x18-Wall-Art-Calm\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0004_Zen-Celestial-Compass-Poster-12x18-Wall-Art-Calm\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0004_Zen-Celestial-Compass-Poster-12x18-Wall-Art-Calm
Poster-Academia-0027,Dark Academia Astrolabe Dome Printable Wall Art Vintage Study Room Decor Wall Library Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0027_Dark-Academia-Astrolabe-Dome-Poster-12x18-Vintag\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0027_Dark-Academia-Astrolabe-Dome-Poster-12x18-Vintag\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0027_Dark-Academia-Astrolabe-Dome-Poster-12x18-Vintag\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0027_Dark-Academia-Astrolabe-Dome-Poster-12x18-Vintag
Poster-Academia-0001,Celestial Gateway Dark Academia Printable Wall Art Study Decor Moonstone Architecture Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0001_Celestial-Gateway-Dark-Academia-Poster-12x18-Stu\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0001_Celestial-Gateway-Dark-Academia-Poster-12x18-Stu\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0001_Celestial-Gateway-Dark-Academia-Poster-12x18-Stu\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0001_Celestial-Gateway-Dark-Academia-Poster-12x18-Stu
Poster-Academia-0081,Celestial Armillary Sphere Dark Academia Printable Wall Art Scholar Study Decor Wall Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0081_Celestial-Armillary-Sphere-Dark-Academia-Poster\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0081_Celestial-Armillary-Sphere-Dark-Academia-Poster\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0081_Celestial-Armillary-Sphere-Dark-Academia-Poster\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0081_Celestial-Armillary-Sphere-Dark-Academia-Poster
Poster-Academia-0084,Astrolabe Chalice Relic Dark Academia Printable Wall Art Vintage Study Decor Wall Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0084_Astrolabe-Chalice-Relic-Dark-Academia-Poster-12x\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0084_Astrolabe-Chalice-Relic-Dark-Academia-Poster-12x\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0084_Astrolabe-Chalice-Relic-Dark-Academia-Poster-12x\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0084_Astrolabe-Chalice-Relic-Dark-Academia-Poster-12x
Poster-Zen-0002,Dark Academia Phoenix Incense Burner Printable Wall Art Ritual Zen Decor Wall Study Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0002_Dark-Academia-Phoenix-Incense-Burner-12x18-Poste\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0002_Dark-Academia-Phoenix-Incense-Burner-12x18-Poste\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0002_Dark-Academia-Phoenix-Incense-Burner-12x18-Poste\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Zen-0002_Dark-Academia-Phoenix-Incense-Burner-12x18-Poste
Poster-Academia-0011,Dark Academia Celestial Archway Printable Wall Art Study Room Decor Timeless Tomes Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0011_Dark-Academia-Celestial-Archway-Poster-12x18-Stu\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0011_Dark-Academia-Celestial-Archway-Poster-12x18-Stu\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0011_Dark-Academia-Celestial-Archway-Poster-12x18-Stu\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0011_Dark-Academia-Celestial-Archway-Poster-12x18-Stu
Poster-Academia-0021,Dark Academia Celestial Chronometer Archive Sphere Printable Wall Art Study Decor Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0021_Dark-Academia-Celestial-Chronometer-Archive-Sphe\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0021_Dark-Academia-Celestial-Chronometer-Archive-Sphe\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0021_Dark-Academia-Celestial-Chronometer-Archive-Sphe\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0021_Dark-Academia-Celestial-Chronometer-Archive-Sphe
Poster-Academia-0022,Dark Academia Temporal Reliquary Bell Jar Printable Wall Art Study Decor Wall Library Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0022_Dark-Academia-Temporal-Reliquary-Bell-Jar-12x18\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0022_Dark-Academia-Temporal-Reliquary-Bell-Jar-12x18\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0022_Dark-Academia-Temporal-Reliquary-Bell-Jar-12x18\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0022_Dark-Academia-Temporal-Reliquary-Bell-Jar-12x18
Poster-Academia-0023,Hermetic Knowledge Lantern Dark Academia Printable Wall Art Library Decor Wall Study Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0023_Hermetic-Knowledge-Lantern-Dark-Academia-Poster\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0023_Hermetic-Knowledge-Lantern-Dark-Academia-Poster\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0023_Hermetic-Knowledge-Lantern-Dark-Academia-Poster\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0023_Hermetic-Knowledge-Lantern-Dark-Academia-Poster
Poster-Academia-0024,Dark Academia Industrial Library Pressure Chamber Printable Wall Art Vintage Decor Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0024_Dark-Academia-Industrial-Library-Pressure-Chambe\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0024_Dark-Academia-Industrial-Library-Pressure-Chambe\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0024_Dark-Academia-Industrial-Library-Pressure-Chambe\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0024_Dark-Academia-Industrial-Library-Pressure-Chambe
Poster-Academia-0025,Dark Academia Chrono-Codex Terrarium Printable Wall Art Library Decor Wall Study Gift Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0025_Dark-Academia-Chrono-Codex-Terrarium-12x18-Poste\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0025_Dark-Academia-Chrono-Codex-Terrarium-12x18-Poste\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0025_Dark-Academia-Chrono-Codex-Terrarium-12x18-Poste\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0025_Dark-Academia-Chrono-Codex-Terrarium-12x18-Poste
Poster-Academia-0026,Dark Academia Apothecary Cylinder Printable Wall Art Vintage Study Decor Wall Library Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0026_Dark-Academia-Apothecary-Cylinder-12x18-Poster-V\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0026_Dark-Academia-Apothecary-Cylinder-12x18-Poster-V\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0026_Dark-Academia-Apothecary-Cylinder-12x18-Poster-V\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0026_Dark-Academia-Apothecary-Cylinder-12x18-Poster-V
Poster-Academia-0028,Dark Academia Alchemist Retort Library Printable Wall Art Study Decor Wall Gift Room Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0028_Dark-Academia-Alchemist-Retort-Library-Poster-12\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0028_Dark-Academia-Alchemist-Retort-Library-Poster-12\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0028_Dark-Academia-Alchemist-Retort-Library-Poster-12\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0028_Dark-Academia-Alchemist-Retort-Library-Poster-12
Poster-Academia-0002,Dark Academia Obsidian Threshold Printable Wall Art Vintage Study Decor Mentor Wisdom Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0002_Dark-Academia-Obsidian-Threshold-Poster-12x18-Vi\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0002_Dark-Academia-Obsidian-Threshold-Poster-12x18-Vi\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0002_Dark-Academia-Obsidian-Threshold-Poster-12x18-Vi\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0002_Dark-Academia-Obsidian-Threshold-Poster-12x18-Vi
Poster-Academia-0003,Dark Academia Serpentine Portal of Alchemical Texts Printable Wall Art Study Decor Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0003_Dark-Academia-Serpentine-Portal-of-Alchemical-Te\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0003_Dark-Academia-Serpentine-Portal-of-Alchemical-Te\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0003_Dark-Academia-Serpentine-Portal-of-Alchemical-Te\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0003_Dark-Academia-Serpentine-Portal-of-Alchemical-Te
Poster-Academia-0082,Celestial Armillary Codex Academia Printable Wall Art Vintage Astronomy Decor Wall Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0082_Celestial-Armillary-Codex-Academia-Poster-12x18\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0082_Celestial-Armillary-Codex-Academia-Poster-12x18\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0082_Celestial-Armillary-Codex-Academia-Poster-12x18\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0082_Celestial-Armillary-Codex-Academia-Poster-12x18
Poster-Academia-0083,Academia Mentor-Grade Cosmic Lotus Observatory Printable Wall Art Steampunk Study Digital Download,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0083_Academia-Mentor-Grade-Cosmic-Lotus-Observatory-1\Preview_01_Framed_Wall_Art.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0083_Academia-Mentor-Grade-Cosmic-Lotus-Observatory-1\Preview_02_Included_Sizes.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0083_Academia-Mentor-Grade-Cosmic-Lotus-Observatory-1\Preview_03_Ratio_Gallery.jpg,C:\AIprojects\openclaw_difi\Output\Digital\PrintableWallArt\Poster-Academia-0083_Academia-Mentor-Grade-Cosmic-Lotus-Observatory-1
