Platform,Product_Type,Scenario,List_Price,Buyer_Shipping_Charged,Printify_Product_Cost,Printify_Shipping_Cost,Ad_Rate,Marketplace_Percent_Fee,Fixed_Fees,Gross_Revenue,Estimated_Fees,Estimated_Profit,Profit_Margin_On_Gross,Notes
eBay,Sticker,Buyer_Pays_Printify_Shipping,9.99,4.69,4.8,4.69,0.02,0.136,0.4,14.68,2.69,2.5,0.1703,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
eBay,Sticker,Buyer_Pays_Printify_Shipping,9.99,4.69,4.8,4.69,0.05,0.136,0.4,14.68,3.13,2.06,0.1403,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
eBay,Sticker,Free_Shipping_Embedded,9.99,0.0,4.8,4.69,0.02,0.136,0.4,9.99,1.96,-1.46,-0.146,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
eBay,Sticker,Free_Shipping_Embedded,9.99,0.0,4.8,4.69,0.05,0.136,0.4,9.99,2.26,-1.76,-0.176,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
Etsy,Sticker,Buyer_Pays_Printify_Shipping,9.99,4.69,4.8,4.69,0.02,0.095,0.45,14.68,2.14,3.05,0.2079,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
Etsy,Sticker,Buyer_Pays_Printify_Shipping,9.99,4.69,4.8,4.69,0.05,0.095,0.45,14.68,2.58,2.61,0.1779,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
Etsy,Sticker,Free_Shipping_Embedded,9.99,0.0,4.8,4.69,0.02,0.095,0.45,9.99,1.6,-1.1,-0.11,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
Etsy,Sticker,Free_Shipping_Embedded,9.99,0.0,4.8,4.69,0.05,0.095,0.45,9.99,1.9,-1.4,-0.14,"Assumes Etsy 6.5% transaction fee, US Etsy Payments 3% + $0.25, and $0.20 listing fee allocated to sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling."
eBay,Sticker,Buyer_Pays_Printify_Shipping,11.99,4.69,4.8,4.69,0.02,0.136,0.4,16.68,3.0,4.19,0.2511,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
eBay,Sticker,Buyer_Pays_Printify_Shipping,11.99,4.69,4.8,4.69,0.05,0.136,0.4,16.68,3.5,3.69,0.2211,Assumes eBay most-categories final value fee 13.6% plus $0.40 order fee; verify exact category/store fee before scaling. Promoted Listings Standard fee is pay-on-sale. Sticker cost is a conservative placeholder; verify against current Printify variant before scaling.
