ID,Product_Type,Status,Printify_Product_ID,eBay_Item_ID,Title,Selected_Count,Unique_Visual_Count,Expected_Unique_Count,Exact_Duplicate_Count,Near_Duplicate_Count,Roles,Result,Notes,Error
Sticker-Academia-0004,Sticker,Printify_PrimaryFix_Needed,69f192aa5ea38382140f1d7b,406892408950,Smoky Jade Sticker Set Mechanical Raven Familiar Bottle 4pc 6x6 Kiss-Cut Vinyl,5,5,3,0,0,custom|custom|custom|custom|custom,OK,custom=5,
Sticker-Zen-0010,Sticker,Printify_Published_Mockups5,69f1b00840c796ee97058144,406892414116,Reading Nook Vinyl Set Floating Island Sanctuary 4pc 6x6 Kiss-Cut Vinyl Quiet,5,5,3,0,0,custom|custom|custom|custom|custom,OK,custom=5,
Poster-Academia-0002,Poster,Printify_Published_Mockups5,69f2906f7f1017d51b0d5f76,406902600741,Deep Work Visual Poster Obsidian Threshold Vintage Mentor Wisdom 12x18 Matte,9,9,3,0,0,custom|custom|custom|custom|custom|official:front|official:front-2|official:close-up|official:context-1,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5; official:close-up=1; official:context-1=1; official:front=1; official:front-2=1,
Acrylic-Academia-0001,Acrylic,Printify_PrimaryFix_Needed,69f298dc9577aaffd50689b0,406902588642,Astrolabe Compass Ritual Disc Dark Academia 5x7 Acrylic Art Study Decor Shelf,3,3,3,0,0,official:front|official:back|official:side-2,OK,official:back=1; official:front=1; official:side-2=1,
Poster-Academia-0081,Poster,Printify_PrimaryFix_Needed,69f29fe09577aaffd5068e03,406902627420,Celestial Armillary Sphere Dark Academia Poster 12x18 Scholar Study Decor Wall,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Poster-Academia-0082,Poster,Printify_PrimaryFix_Needed,69f2a0cacaeb1241880b9e8d,406902648209,Celestial Armillary Codex Academia Poster 12x18 Vintage Astronomy Decor Wall,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Poster-Academia-0083,Poster,Printify_PrimaryFix_Needed,69f2a1b8a7777da197101a96,406902669660,Quiet Luxury Apartment Art Cosmic Lotus Observatory Steampunk 12x18 Matte Decor,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Poster-Academia-0084,Poster,Printify_PrimaryFix_Needed,69f2a2aacaeb1241880b9f6b,406902691983,Deep Work Visual Poster Astrolabe Chalice Relic Vintage 12x18 Matte Poster Gift,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Acrylic-Grimdark-0082,Acrylic,Printify_PrimaryFix_Needed,69f2a7d0e64c9f31b70f79cf,406902633400,Quiet Luxury Shelf Decor Alchemical Terrarium Withered Mandrake Root 5x7 Gift,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Acrylic-Zen-0002,Acrylic,Printify_PrimaryFix_Needed,69f2a8a5357398ded80f8faf,406902657898,Quiet Luxury Shelf Decor Ritual Bell Shrine for Meditation 5x7 Acrylic Photo,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Acrylic-Zen-0003,Acrylic,Printify_PrimaryFix_Needed,69f2a9b45f78c14a7b0a7290,406902673249,Deep Work Desk Visual Pagoda Fragment Relic Print Floating 5x7 Acrylic Photo,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Poster-Academia-0085,Poster,Printify_PrimaryFix_Needed,69f2b132cd8d04605103fdaa,406902882943,Orrery Lighthouse Beacon Dark Academia Poster 12x18 Vintage Astronomy Wall Art,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Poster-Academia-0091,Poster,Printify_PrimaryFix_Needed,69f2b7ada7777da1971028d7,406902887127,Smoky Jade Wall Art Celestial Lotus Vintage 12x18 Matte Poster Apartment Decor,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Acrylic-Academia-0003,Acrylic,Printify_PrimaryFix_Needed,69f2b9c3caeb1241880bae85,406902703464,Quiet Luxury Shelf Decor Celestial Orrery Tree Bonsai 5x7 Acrylic Photo Block,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Acrylic-Grimdark-0083,Acrylic,Printify_PrimaryFix_Needed,69f2bac6343d8ca093077dd8,406902885214,Deep Work Desk Visual Ritual Censer Thurible 5x7 Acrylic Photo Block Office,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Acrylic-Zen-0004,Acrylic,Printify_PrimaryFix_Needed,69f2bbbc343d8ca093077e9a,406902888077,Zen Cyberpunk Koi Automaton 5x7 Acrylic Block - Meditative Desk Sculpture Shelf,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Acrylic-Zen-0005,Acrylic,Printify_PrimaryFix_Needed,69f2c22e9b469f716d0ea954,406902893289,Gallery Desk Art Incense Vessel Constellation for Meditation 5x7 Acrylic Photo,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Poster-Zen-0001,Poster,Printify_PrimaryFix_Needed,69f2dc76cd8d046051041f06,406902890971,Deep Work Visual Poster Bonsai Celestial Gate of Jade 12x18 Matte Poster Deep,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Poster-Zen-0002,Poster,Printify_PrimaryFix_Needed,69f2cf675f78c14a7b0a894c,406902897663,Reading Nook Wall Decor Phoenix Incense Burner Ritual 12x18 Matte Poster Gift,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Acrylic-Zen-0006,Acrylic,Printify_PrimaryFix_Needed,69f2d2a1c326d7da170c51b4,406902898909,Meditation Room Jade Relic Phoenix 5x7 Acrylic Block Shelf Decor Gift Study,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
Acrylic-Zen-0007,Acrylic,Printify_PrimaryFix_Needed,69f2d3ab5f78c14a7b0a8b87,406903028253,Meditation Room Jade Relic Quiet Luxury 5x7 Acrylic Block Shelf Decor Gift Wall,5,5,3,0,0,custom|custom|custom|custom|custom,CHECK_CUSTOM_GALLERY_REPEATS_RISK,custom=5,
